2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebra_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebro_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebro_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebro_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebro_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebro_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeregorl_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeregorl_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeregorl_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeregorl_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeregorl_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeresis_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeresis_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeresis_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeresis_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzeresis_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_Loky_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_Loky_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_Loky_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_Loky_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_Loky_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_nomAI_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_nomAI_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_nomAI_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_nomAI_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0x_nomAI_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1000xAgent_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1000xAgent_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1000xAgent_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1000xAgent_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1000xAgent_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1DollarSol_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1DollarSol_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1DollarSol_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1DollarSol_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 1DollarSol_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 24Kenva_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 24Kenva_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 24Kenva_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 24Kenva_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 24Kenva_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 2girls1cupAI_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 2girls1cupAI_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 2girls1cupAI_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 2girls1cupAI_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 2girls1cupAI_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 4GS_virtuals_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 4GS_virtuals_tweets_1.json
